2026-06-24 13:18:06.229 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 2: Run a stealthy vulnerability scan using Nmap with a limited set of scripts to reduce detection risk.
2026-06-24 13:18:15.157 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 704 chars
2026-06-24 13:18:15.158 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 2: approve | confidence=0.92
2026-06-24 13:18:15.158 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 2
2026-06-24 13:18:19.029 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 191 chars
2026-06-24 13:18:19.094 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on exploitdb: slice(None, 2000, None)
2026-06-24 13:18:19.128 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on atomic_red_team: slice(None, 2000, None)
2026-06-24 13:18:19.142 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:18:27.939 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 558 chars
2026-06-24 13:18:27.939 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Use the CVE-2023-41892 exploit module for CraftCMS to attempt remote code execution.
2026-06-24 13:18:35.121 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 790 chars
2026-06-24 13:18:35.122 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: reject | confidence=0.8
2026-06-24 13:18:47.830 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 604 chars
2026-06-24 13:18:47.830 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 2: Conduct reconnaissance to confirm if the target hosts a vulnerable version of CraftCMS before attempting exploitation.
2026-06-24 13:18:58.866 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 889 chars
2026-06-24 13:18:58.866 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 2: approve | confidence=0.9
2026-06-24 13:18:58.866 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 2
2026-06-24 13:19:03.368 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 182 chars
2026-06-24 13:19:03.394 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on atomic_red_team: slice(None, 2000, None)
2026-06-24 13:19:03.425 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:19:11.378 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 646 chars
2026-06-24 13:19:11.378 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Use Metasploit's desktop_privilege_escalation.rb module to attempt privilege escalation.
2026-06-24 13:19:17.930 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 734 chars
2026-06-24 13:19:17.930 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: reject | confidence=0.75
2026-06-24 13:24:15.123 | INFO     | agents.orchestrator.campaign_orchestrator:__init__:44 - Initializing Campaign Orchestrator...
2026-06-24 13:24:15.328 | INFO     | core.llm_client:__init__:31 - LLM client initialized | heavy=llama-3.3-70b-versatile fast=qwen/qwen3-32b
2026-06-24 13:24:15.329 | INFO     | knowledge.qdrant.rag_retriever:__init__:62 - Loading embedding model: BAAI/bge-small-en-v1.5
2026-06-24 13:24:24.245 | SUCCESS  | knowledge.qdrant.rag_retriever:_init_clients:92 - RAG ready — 10/10 collections: ['mitre_attack', 'exploitdb', 'metasploit', 'atomic_red_team', 'sigma_rules', 'kali_tools', 'cisa_advisories', 'reverse_shells', 'mitre_ics', 'payloads']
2026-06-24 13:24:24.246 | SUCCESS  | agents.orchestrator.campaign_orchestrator:__init__:52 - Orchestrator ready.
2026-06-24 13:24:24.295 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_ics: slice(None, 2000, None)
2026-06-24 13:24:24.305 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:24:25.436 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 857 chars
2026-06-24 13:24:25.464 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:24:25.472 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on cisa_advisories: slice(None, 2000, None)
2026-06-24 13:24:25.942 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 445 chars
2026-06-24 13:24:25.942 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Scan the target network to discover active hosts.
2026-06-24 13:24:26.457 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 690 chars
2026-06-24 13:24:26.457 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: approve | confidence=0.95
2026-06-24 13:24:26.457 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 1
2026-06-24 13:25:07.127 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 199 chars
2026-06-24 13:25:07.150 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on cisa_advisories: slice(None, 2000, None)
2026-06-24 13:25:07.181 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:25:08.856 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 535 chars
2026-06-24 13:25:08.856 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Run a comprehensive vulnerability scan using Nmap with vulnerability detection scripts.
2026-06-24 13:25:15.829 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 706 chars
2026-06-24 13:25:15.830 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: modify | confidence=0.85
2026-06-24 13:25:16.425 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 471 chars
2026-06-24 13:25:16.425 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 2: Run a stealthy vulnerability scan using Nmap with limited scripts to reduce detection risk.
2026-06-24 13:25:16.959 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 707 chars
2026-06-24 13:25:16.959 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 2: approve | confidence=0.92
2026-06-24 13:25:16.959 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 2
2026-06-24 13:25:17.241 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 237 chars
2026-06-24 13:25:17.290 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on exploitdb: slice(None, 2000, None)
2026-06-24 13:25:17.308 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on atomic_red_team: slice(None, 2000, None)
2026-06-24 13:25:17.316 | WARNING  | knowledge.qdrant.rag_retriever:query:151 - Query failed on mitre_attack_enterprise: slice(None, 2000, None)
2026-06-24 13:25:45.304 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 585 chars
2026-06-24 13:25:45.304 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Use the CVE-2023-41892 exploit module for CraftCMS to attempt remote code execution.
2026-06-24 13:25:46.029 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 700 chars
2026-06-24 13:25:46.029 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: reject | confidence=0.75
2026-06-24 13:25:46.560 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 556 chars
2026-06-24 13:25:46.560 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 2: Scan the target network for vulnerable instances of CraftCMS using Nmap.
2026-06-24 13:25:47.059 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 674 chars
2026-06-24 13:25:47.059 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 2: approve | confidence=0.85
2026-06-24 13:25:47.059 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 2
2026-06-24 13:55:20.910 | INFO     | agents.orchestrator.campaign_orchestrator:__init__:44 - Initializing Campaign Orchestrator...
2026-06-24 13:55:21.179 | INFO     | core.llm_client:__init__:31 - LLM client initialized | heavy=llama-3.3-70b-versatile fast=qwen/qwen3-32b
2026-06-24 13:55:21.179 | INFO     | knowledge.qdrant.rag_retriever:__init__:62 - Loading embedding model: BAAI/bge-small-en-v1.5
2026-06-24 13:55:30.301 | SUCCESS  | knowledge.qdrant.rag_retriever:_init_clients:92 - RAG ready — 10/10 collections: ['mitre_attack', 'exploitdb', 'metasploit', 'atomic_red_team', 'sigma_rules', 'kali_tools', 'cisa_advisories', 'reverse_shells', 'mitre_ics', 'payloads']
2026-06-24 13:55:30.301 | SUCCESS  | agents.orchestrator.campaign_orchestrator:__init__:52 - Orchestrator ready.
2026-06-24 13:55:32.134 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 866 chars
2026-06-24 13:56:11.958 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 513 chars
2026-06-24 13:56:11.959 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Scan the target network range to identify active hosts.
2026-06-24 13:56:19.865 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 682 chars
2026-06-24 13:56:19.865 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: approve | confidence=0.9
2026-06-24 13:56:19.865 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 1
2026-06-24 13:57:02.963 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 158 chars
2026-06-24 13:57:03.504 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 540 chars
2026-06-24 13:57:03.504 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Run a vulnerability scan using nmap with specific scripts to identify known vulnerabilities on the discovered host.
2026-06-24 13:57:18.335 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 719 chars
2026-06-24 13:57:18.336 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: approve | confidence=0.9
2026-06-24 13:57:18.336 | INFO     | core.decision_engine:debate_and_decide:123 - Consensus reached in round 1
2026-06-24 13:57:23.867 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 166 chars
2026-06-24 13:57:32.894 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 656 chars
2026-06-24 13:57:32.894 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 1: Exploit Microsoft Windows ICMPv6 Router Advertisement RCE (CVE-2010-0239)
2026-06-24 13:57:40.148 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 1009 chars
2026-06-24 13:57:40.149 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 1: reject | confidence=0.8
2026-06-24 13:57:55.113 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 667 chars
2026-06-24 13:57:55.113 | DEBUG    | core.decision_engine:debate_and_decide:89 - Planner round 2: Exploit Windows SMB Remote Code Execution (CVE-2017-0144) using Metasploit
2026-06-24 13:58:06.305 | DEBUG    | core.llm_client:complete:73 - LLM [fast] → 962 chars
2026-06-24 13:58:06.305 | DEBUG    | core.decision_engine:debate_and_decide:119 - Critic round 2: approve | confidence=0.9
